Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Deuteronomy 31:5	And the LORD shall give them up before your face, that you may do to them according to all the commandments which I have commanded you.
Mark 7:10	For Moses said, Honor your father and your mother; and, Whoever curses father or mother, let him die the death:
Psalm 107:29	He makes the storm a calm, so that the waves thereof are still.
Jeremiah 46:28	Fear you not, O Jacob my servant, said the LORD: for I am with you; for I will make a full end of all the nations where I have driven you: but I will not make a full end of you, but correct you in measure; yet will I not leave you wholly unpunished.
Numbers 12:12	Let her not be as one dead, of whom the flesh is half consumed when he comes out of his mother’s womb.
Hosea 8:14	For Israel has forgotten his Maker, and builds temples; and Judah has multiplied fenced cities: but I will send a fire on his cities, and it shall devour the palaces thereof.
2 Kings 14:15	Now the rest of the acts of Jehoash which he did, and his might, and how he fought with Amaziah king of Judah, are they not written in the book of the chronicles of the kings of Israel?
Psalm 37:12	The wicked plots against the just, and gnashes on him with his teeth.
Psalm 10:16	The LORD is King for ever and ever: the heathen are perished out of his land.
Luke 6:11	And they were filled with madness; and communed one with another what they might do to Jesus.
1 Corinthians 14:3	But he that prophesies speaks to men to edification, and exhortation, and comfort.
Psalm 80:1	Give ear, O Shepherd of Israel, you that lead Joseph like a flock; you that dwell between the cherubim, shine forth.
Deuteronomy 15:14	You shall furnish him liberally out of your flock, and out of your floor, and out of your wine press: of that with which the LORD your God has blessed you you shall give to him.
Psalm 126:3	The LORD has done great things for us; whereof we are glad.
1 Kings 22:14	And Micaiah said, As the LORD lives, what the LORD said to me, that will I speak.
Acts 16:38	And the sergeants told these words to the magistrates: and they feared, when they heard that they were Romans.
Genesis 10:11	Out of that land went forth Asshur, and built Nineveh, and the city Rehoboth, and Calah,
Acts 9:33	And there he found a certain man named Aeneas, which had kept his bed eight years, and was sick of the palsy.
Genesis 18:2	And he lift up his eyes and looked, and, see, three men stood by him: and when he saw them, he ran to meet them from the tent door, and bowed himself toward the ground,
Leviticus 25:23	The land shall not be sold for ever: for the land is mine, for you are strangers and sojourners with me.
Numbers 14:45	Then the Amalekites came down, and the Canaanites which dwelled in that hill, and smote them, and discomfited them, even to Hormah.
2 Chronicles 7:15	Now my eyes shall be open, and my ears attentive to the prayer that is made in this place.
Psalm 131:2	Surely I have behaved and quieted myself, as a child that is weaned of his mother: my soul is even as a weaned child.
2 Chronicles 3:11	And the wings of the cherubim were twenty cubits long: one wing of the one cherub was five cubits, reaching to the wall of the house: and the other wing was likewise five cubits, reaching to the wing of the other cherub.
Psalm 135:12	And gave their land for an heritage, an heritage to Israel his people.
Psalm 109:26	Help me, O LORD my God: O save me according to your mercy:
Luke 5:38	But new wine must be put into new bottles; and both are preserved.
1 Samuel 17:23	And as he talked with them, behold, there came up the champion, the Philistine of Gath, Goliath by name, out of the armies of the Philistines, and spoke according to the same words: and David heard them.
Nehemiah 3:23	After him repaired Benjamin and Hashub over against their house. After him repaired Azariah the son of Maaseiah the son of Ananiah by his house.
Galatians 1:14	And profited in the Jews’ religion above many my equals in my own nation, being more exceedingly zealous of the traditions of my fathers.
2 Samuel 11:10	And when they had told David, saying, Uriah went not down to his house, David said to Uriah, Came you not from your journey? why then did you not go down to your house?
Ezekiel 25:14	And I will lay my vengeance on Edom by the hand of my people Israel: and they shall do in Edom according to my anger and according to my fury; and they shall know my vengeance, said the Lord GOD.
Genesis 26:26	Then Abimelech went to him from Gerar, and Ahuzzath one of his friends, and Phichol the chief captain of his army.
Job 41:2	Can you put an hook into his nose? or bore his jaw through with a thorn?
Exodus 40:3	And you shall put therein the ark of the testimony, and cover the ark with the veil.
2 Corinthians 4:15	For all things are for your sakes, that the abundant grace might through the thanksgiving of many redound to the glory of God.
Proverbs 16:22	Understanding is a wellspring of life to him that has it: but the instruction of fools is folly.
Luke 9:58	And Jesus said to him, Foxes have holes, and birds of the air have nests; but the Son of man has not where to lay his head.
Mark 7:33	And he took him aside from the multitude, and put his fingers into his ears, and he spit, and touched his tongue;
Job 17:1	My breath is corrupt, my days are extinct, the graves are ready for me.
Leviticus 9:3	And to the children of Israel you shall speak, saying, Take you a kid of the goats for a sin offering; and a calf and a lamb, both of the first year, without blemish, for a burnt offering;
Revelation 4:11	You are worthy, O Lord, to receive glory and honor and power: for you have created all things, and for your pleasure they are and were created.
Matthew 8:4	And Jesus said to him, See you tell no man; but go your way, show yourself to the priest, and offer the gift that Moses commanded, for a testimony to them.
Proverbs 13:23	Much food is in the tillage of the poor: but there is that is destroyed for want of judgment.
Leviticus 24:18	And he that kills a beast shall make it good; beast for beast.
Acts 19:40	For we are in danger to be called in question for this day’s uproar, there being no cause whereby we may give an account of this concourse.
2 Thessalonians 2:16	Now our Lord Jesus Christ himself, and God, even our Father, which has loved us, and has given us everlasting consolation and good hope through grace,
Ecclesiastes 3:5	A time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;
Romans 1:23	And changed the glory of the incorruptible God into an image made like to corruptible man, and to birds, and four footed beasts, and creeping things.
2 Samuel 21:3	Why David said to the Gibeonites, What shall I do for you? and with which shall I make the atonement, that you may bless the inheritance of the LORD?
Psalm 31:23	O love the LORD, all you his saints: for the LORD preserves the faithful, and plentifully rewards the proud doer.
Deuteronomy 12:31	You shall not do so to the LORD your God: for every abomination to the LORD, which he hates, have they done to their gods; for even their sons and their daughters they have burnt in the fire to their gods.
Genesis 27:7	Bring me venison, and make me savoury meat, that I may eat, and bless you before the LORD before my death.
Isaiah 65:25	The wolf and the lamb shall feed together, and the lion shall eat straw like the bullock: and dust shall be the serpent’s meat. They shall not hurt nor destroy in all my holy mountain, said the LORD.
Psalm 23:3	He restores my soul: he leads me in the paths of righteousness for his name’s sake.
Daniel 2:2	Then the king commanded to call the magicians, and the astrologers, and the sorcerers, and the Chaldeans, for to show the king his dreams. So they came and stood before the king.
Leviticus 1:16	And he shall pluck away his crop with his feathers, and cast it beside the altar on the east part, by the place of the ashes:
2 Timothy 3:14	But continue you in the things which you have learned and have been assured of, knowing of whom you have learned them;
Jeremiah 9:18	And let them make haste, and take up a wailing for us, that our eyes may run down with tears, and our eyelids gush out with waters.
Ezekiel 26:10	By reason of the abundance of his horses their dust shall cover you: your walls shall shake at the noise of the horsemen, and of the wheels, and of the chariots, when he shall enter into your gates, as men enter into a city wherein is made a breach.
Romans 4:2	For if Abraham were justified by works, he has whereof to glory; but not before God.
Luke 13:2	And Jesus answering said to them, Suppose you that these Galilaeans were sinners above all the Galilaeans, because they suffered such things?
Leviticus 6:27	Whatever shall touch the flesh thereof shall be holy: and when there is sprinkled of the blood thereof on any garment, you shall wash that where on it was sprinkled in the holy place.
Psalm 133:2	It is like the precious ointment on the head, that ran down on the beard, even Aaron’s beard: that went down to the skirts of his garments;
Philemon 1:24	Marcus, Aristarchus, Demas, Lucas, my fellow laborers.
Leviticus 21:18	For whatever man he be that has a blemish, he shall not approach: a blind man, or a lame, or he that has a flat nose, or any thing superfluous,
Psalm 99:1	The LORD reigns; let the people tremble: he sits between the cherubim; let the earth be moved.
Matthew 13:9	Who has ears to hear, let him hear.
1 Samuel 28:20	Then Saul fell straightway all along on the earth, and was sore afraid, because of the words of Samuel: and there was no strength in him; for he had eaten no bread all the day, nor all the night.
Numbers 31:23	Every thing that may abide the fire, you shall make it go through the fire, and it shall be clean: nevertheless it shall be purified with the water of separation: and all that stays not the fire you shall make go through the water.
Numbers 10:33	And they departed from the mount of the LORD three days’ journey: and the ark of the covenant of the LORD went before them in the three days’ journey, to search out a resting place for them.
Numbers 16:31	And it came to pass, as he had made an end of speaking all these words, that the ground split asunder that was under them:
1 Samuel 17:39	And David girded his sword on his armor, and he assayed to go; for he had not proved it. And David said to Saul, I cannot go with these; for I have not proved them. And David put them off him.
Numbers 18:1	And the LORD said to Aaron, You and your sons and your father’s house with you shall bear the iniquity of the sanctuary: and you and your sons with you shall bear the iniquity of your priesthood.
Acts 23:24	And provide them beasts, that they may set Paul on, and bring him safe to Felix the governor.
Ezra 8:17	And I sent them with commandment to Iddo the chief at the place Casiphia, and I told them what they should say to Iddo, and to his brothers the Nethinims, at the place Casiphia, that they should bring to us ministers for the house of our God.
Numbers 7:4	And the LORD spoke to Moses, saying,
Mark 14:3	And being in Bethany in the house of Simon the leper, as he sat at meat, there came a woman having an alabaster box of ointment of spikenard very precious; and she broke the box, and poured it on his head.
2 Chronicles 10:9	And he said to them, What advice give you that we may return answer to this people, which have spoken to me, saying, Ease somewhat the yoke that your father did put on us?
Jeremiah 51:63	And it shall be, when you have made an end of reading this book, that you shall bind a stone to it, and cast it into the middle of Euphrates:
Romans 16:12	Salute Tryphena and Tryphosa, who labor in the Lord. Salute the beloved Persis, which labored much in the Lord.
2 Corinthians 8:11	Now therefore perform the doing of it; that as there was a readiness to will, so there may be a performance also out of that which you have.
Genesis 29:4	And Jacob said to them, My brothers, from where be you? And they said, Of Haran are we.
Deuteronomy 16:21	You shall not plant you a grove of any trees near to the altar of the LORD your God, which you shall make you.
Matthew 13:23	But he that received seed into the good ground is he that hears the word, and understands it; which also bears fruit, and brings forth, some an hundred times, some sixty, some thirty.
Isaiah 36:12	But Rabshakeh said, Has my master sent me to your master and to you to speak these words? has he not sent me to the men that sit on the wall, that they may eat their own dung, and drink their own urine with you?
2 Chronicles 24:4	And it came to pass after this, that Joash was minded to repair the house of the LORD.
Numbers 31:51	And Moses and Eleazar the priest took the gold of them, even all worked jewels.
Psalm 107:25	For he commands, and raises the stormy wind, which lifts up the waves thereof.
Jeremiah 41:2	Then arose Ishmael the son of Nethaniah, and the ten men that were with him, and smote Gedaliah the son of Ahikam the son of Shaphan with the sword, and slew him, whom the king of Babylon had made governor over the land.
Acts 12:12	And when he had considered the thing, he came to the house of Mary the mother of John, whose surname was Mark; where many were gathered together praying.
1 Corinthians 13:3	And though I bestow all my goods to feed the poor, and though I give my body to be burned, and have not charity, it profits me nothing.
2 Timothy 1:12	For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed to him against that day.
Isaiah 11:6	The wolf also shall dwell with the lamb, and the leopard shall lie down with the kid; and the calf and the young lion and the fatted calf together; and a little child shall lead them.
Exodus 14:5	And it was told the king of Egypt that the people fled: and the heart of Pharaoh and of his servants was turned against the people, and they said, Why have we done this, that we have let Israel go from serving us?
Genesis 36:10	These are the names of Esau’s sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.
John 7:1	After these things Jesus walked in Galilee: for he would not walk in Jewry, because the Jews sought to kill him.
2 Kings 5:11	But Naaman was wroth, and went away, and said, Behold, I thought, He will surely come out to me, and stand, and call on the name of the LORD his God, and strike his hand over the place, and recover the leper.
Zechariah 6:12	And speak to him, saying, Thus speaks the LORD of hosts, saying, Behold the man whose name is The BRANCH; and he shall grow up out of his place, and he shall build the temple of the LORD:
1 Chronicles 6:23	Elkanah his son, and Ebiasaph his son, and Assir his son,
1 Corinthians 2:14	But the natural man receives not the things of the Spirit of God: for they are foolishness to him: neither can he know them, because they are spiritually discerned.
Psalm 119:151	You are near, O LORD; and all your commandments are truth.
Judges 18:13	And they passed there to mount Ephraim, and came to the house of Micah.
2 Kings 14:20	And they brought him on horses: and he was buried at Jerusalem with his fathers in the city of David.
1 Corinthians 9:25	And every man that strives for the mastery is temperate in all things. Now they do it to obtain a corruptible crown; but we an incorruptible.
Esther 4:14	For if you altogether hold your peace at this time, then shall there enlargement and deliverance arise to the Jews from another place; but you and your father’s house shall be destroyed: and who knows whether you are come to the kingdom for such a time as this?
Psalm 103:20	Bless the LORD, you his angels, that excel in strength, that do his commandments, hearkening to the voice of his word.
Acts 8:13	Then Simon himself believed also: and when he was baptized, he continued with Philip, and wondered, beholding the miracles and signs which were done.
1 Samuel 30:17	And David smote them from the twilight even to the evening of the next day: and there escaped not a man of them, save four hundred young men, which rode on camels, and fled.
2 Chronicles 4:5	And the thickness of it was an handbreadth, and the brim of it like the work of the brim of a cup, with flowers of lilies; and it received and held three thousand baths.
Psalm 34:15	The eyes of the LORD are on the righteous, and his ears are open to their cry.
Leviticus 19:26	You shall not eat any thing with the blood: neither shall you use enchantment, nor observe times.
2 Kings 4:31	And Gehazi passed on before them, and laid the staff on the face of the child; but there was neither voice, nor hearing. Why he went again to meet him, and told him, saying, The child is not awaked.
Psalm 18:37	I have pursued my enemies, and overtaken them: neither did I turn again till they were consumed.
Jeremiah 36:5	And Jeremiah commanded Baruch, saying, I am shut up; I cannot go into the house of the LORD:
1 Corinthians 10:19	What say I then? that the idol is any thing, or that which is offered in sacrifice to idols is any thing?
Joshua 17:4	And they came near before Eleazar the priest, and before Joshua the son of Nun, and before the princes, saying, The LORD commanded Moses to give us an inheritance among our brothers. Therefore according to the commandment of the LORD he gave them an inheritance among the brothers of their father.
Genesis 29:25	And it came to pass, that in the morning, behold, it was Leah: and he said to Laban, What is this you have done to me? did not I serve with you for Rachel? why then have you beguiled me?
Genesis 25:30	And Esau said to Jacob, Feed me, I pray you, with that same red pottage; for I am faint: therefore was his name called Edom.
2 Thessalonians 2:5	Remember you not, that, when I was yet with you, I told you these things?
1 Chronicles 29:29	Now the acts of David the king, first and last, behold, they are written in the book of Samuel the seer, and in the book of Nathan the prophet, and in the book of Gad the seer,
2 Samuel 12:9	Why have you despised the commandment of the LORD, to do evil in his sight? you have killed Uriah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.
Psalm 26:6	I will wash my hands in innocence: so will I compass your altar, O LORD:
Ecclesiastes 7:1	A good name is better than precious ointment; and the day of death than the day of one’s birth.
Judges 9:20	But if not, let fire come out from Abimelech, and devour the men of Shechem, and the house of Millo; and let fire come out from the men of Shechem, and from the house of Millo, and devour Abimelech.
Proverbs 9:9	Give instruction to a wise man, and he will be yet wiser: teach a just man, and he will increase in learning.
Psalm 106:12	Then believed they his words; they sang his praise.
Numbers 1:45	So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;
Leviticus 9:11	And the flesh and the hide he burnt with fire without the camp.
Joshua 15:10	And the border compassed from Baalah westward to mount Seir, and passed along to the side of mount Jearim, which is Chesalon, on the north side, and went down to Bethshemesh, and passed on to Timnah:
Genesis 4:20	And Adah bore Jabal: he was the father of such as dwell in tents, and of such as have cattle.
Malachi 1:6	A son honors his father, and a servant his master: if then I be a father, where is my honor? and if I be a master, where is my fear? said the LORD of hosts to you, O priests, that despise my name. And you say, Wherein have we despised your name?
Psalm 60:9	Who will bring me into the strong city? who will lead me into Edom?
2 Chronicles 36:9	Jehoiachin was eight years old when he began to reign, and he reigned three months and ten days in Jerusalem: and he did that which was evil in the sight of the LORD.
Jeremiah 7:30	For the children of Judah have done evil in my sight, said the LORD: they have set their abominations in the house which is called by my name, to pollute it.
1 Kings 19:6	And he looked, and, behold, there was a cake baked on the coals, and a cruse of water at his head. And he did eat and drink, and laid him down again.
Acts 1:20	For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his position as bishop let another take.
Luke 10:11	Even the very dust of your city, which sticks on us, we do wipe off against you: notwithstanding be you sure of this, that the kingdom of God is come near to you.
1 Peter 5:3	Neither as being lords over God’s heritage, but being ensamples to the flock.
2 Kings 5:9	So Naaman came with his horses and with his chariot, and stood at the door of the house of Elisha.
Psalm 26:10	In whose hands is mischief, and their right hand is full of bribes.
2 Chronicles 3:10	And in the most holy house he made two cherubim of image work, and overlaid them with gold.
Micah 7:5	Trust you not in a friend, put you not confidence in a guide: keep the doors of your mouth from her that lies in your bosom.
Revelation 17:7	And the angel said to me, Why did you marvel? I will tell you the mystery of the woman, and of the beast that carries her, which has the seven heads and ten horns.
Daniel 5:7	The king cried aloud to bring in the astrologers, the Chaldeans, and the soothsayers. And the king spoke, and said to the wise men of Babylon, Whoever shall read this writing, and show me the interpretation thereof, shall be clothed with scarlet, and have a chain of gold about his neck, and shall be the third ruler in the kingdom.
1 Timothy 3:4	One that rules well his own house, having his children in subjection with all gravity;
Zechariah 12:9	And it shall come to pass in that day, that I will seek to destroy all the nations that come against Jerusalem.
Jeremiah 38:18	But if you will not go forth to the king of Babylon’s princes, then shall this city be given into the hand of the Chaldeans, and they shall burn it with fire, and you shall not escape out of their hand.
Jeremiah 9:26	Egypt, and Judah, and Edom, and the children of Ammon, and Moab, and all that are in the utmost corners, that dwell in the wilderness: for all these nations are uncircumcised, and all the house of Israel are uncircumcised in the heart.
Genesis 12:1	Now the LORD had said to Abram, Get you out of your country, and from your kindred, and from your father’s house, to a land that I will show you:
Luke 9:54	And when his disciples James and John saw this, they said, Lord, will you that we command fire to come down from heaven, and consume them, even as Elias did?
Acts 10:28	And he said to them, You know how that it is an unlawful thing for a man that is a Jew to keep company, or come to one of another nation; but God has showed me that I should not call any man common or unclean.
Isaiah 10:19	And the rest of the trees of his forest shall be few, that a child may write them.
Leviticus 13:22	And if it spread much abroad in the skin, then the priest shall pronounce him unclean: it is a plague.
1 Kings 11:21	And when Hadad heard in Egypt that David slept with his fathers, and that Joab the captain of the host was dead, Hadad said to Pharaoh, Let me depart, that I may go to my own country.
Jeremiah 30:4	And these are the words that the LORD spoke concerning Israel and concerning Judah.
Daniel 10:9	Yet heard I the voice of his words: and when I heard the voice of his words, then was I in a deep sleep on my face, and my face toward the ground.
Ezekiel 30:25	But I will strengthen the arms of the king of Babylon, and the arms of Pharaoh shall fall down; and they shall know that I am the LORD, when I shall put my sword into the hand of the king of Babylon, and he shall stretch it out on the land of Egypt.
1 Chronicles 8:13	Beriah also, and Shema, who were heads of the fathers of the inhabitants of Aijalon, who drove away the inhabitants of Gath:
1 Peter 5:9	Whom resist steadfast in the faith, knowing that the same afflictions are accomplished in your brothers that are in the world.
2 Chronicles 10:18	Then king Rehoboam sent Hadoram that was over the tribute; and the children of Israel stoned him with stones, that he died. But king Rehoboam made speed to get him up to his chariot, to flee to Jerusalem.
Ezekiel 34:21	Because you have thrust with side and with shoulder, and pushed all the diseased with your horns, till you have scattered them abroad;
Romans 1:14	I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.
Mark 6:42	And they did all eat, and were filled.
1 Samuel 13:12	Therefore said I, The Philistines will come down now on me to Gilgal, and I have not made supplication to the LORD: I forced myself therefore, and offered a burnt offering.
Hebrews 11:40	God having provided some better thing for us, that they without us should not be made perfect.
2 Chronicles 16:7	And at that time Hanani the seer came to Asa king of Judah, and said to him, Because you have relied on the king of Syria, and not relied on the LORD your God, therefore is the host of the king of Syria escaped out of your hand.
Acts 8:5	Then Philip went down to the city of Samaria, and preached Christ to them.
Jeremiah 10:10	But the LORD is the true God, he is the living God, and an everlasting king: at his wrath the earth shall tremble, and the nations shall not be able to abide his indignation.
Isaiah 8:4	For before the child shall have knowledge to cry, My father, and my mother, the riches of Damascus and the spoil of Samaria shall be taken away before the king of Assyria.
John 11:11	These things said he: and after that he said to them, Our friend Lazarus sleeps; but I go, that I may awake him out of sleep.
Exodus 4:13	And he said, O my LORD, send, I pray you, by the hand of him whom you will send.
Genesis 3:3	But of the fruit of the tree which is in the middle of the garden, God has said, You shall not eat of it, neither shall you touch it, lest you die.
2 Kings 18:27	But Rabshakeh said to them, Has my master sent me to your master, and to you, to speak these words? has he not sent me to the men which sit on the wall, that they may eat their own dung, and drink their own urine with you?
Psalm 49:9	That he should still live for ever, and not see corruption.
John 5:42	But I know you, that you have not the love of God in you.
Psalm 90:16	Let your work appear to your servants, and your glory to their children.
Hosea 2:10	And now will I discover her lewdness in the sight of her lovers, and none shall deliver her out of my hand.
Mark 4:6	But when the sun was up, it was scorched; and because it had no root, it withered away.
Ezekiel 48:8	And by the border of Judah, from the east side to the west side, shall be the offering which you shall offer of five and twenty thousand reeds in breadth, and in length as one of the other parts, from the east side to the west side: and the sanctuary shall be in the middle of it.
Job 26:5	Dead things are formed from under the waters, and the inhabitants thereof.
Psalm 136:17	To him which smote great kings: for his mercy endures for ever:
Exodus 15:12	You stretched out your right hand, the earth swallowed them.
2 Chronicles 25:24	And he took all the gold and the silver, and all the vessels that were found in the house of God with Obededom, and the treasures of the king’s house, the hostages also, and returned to Samaria.
Ezekiel 8:18	Therefore will I also deal in fury: my eye shall not spare, neither will I have pity: and though they cry in my ears with a loud voice, yet will I not hear them.
Acts 26:5	Which knew me from the beginning, if they would testify, that after the most strait sect of our religion I lived a Pharisee.
2 Corinthians 1:18	But as God is true, our word toward you was not yes and no.
Ezekiel 28:21	Son of man, set your face against Zidon, and prophesy against it,
Zechariah 14:8	And it shall be in that day, that living waters shall go out from Jerusalem; half of them toward the former sea, and half of them toward the hinder sea: in summer and in winter shall it be.
Psalm 32:2	Blessed is the man to whom the LORD imputes not iniquity, and in whose spirit there is no guile.
Romans 2:15	Which show the work of the law written in their hearts, their conscience also bearing witness, and their thoughts the mean while accusing or else excusing one another;)
Isaiah 45:18	For thus said the LORD that created the heavens; God himself that formed the earth and made it; he has established it, he created it not in vain, he formed it to be inhabited: I am the LORD; and there is none else.
Hosea 7:8	Ephraim, he has mixed himself among the people; Ephraim is a cake not turned.
Revelation 18:10	Standing afar off for the fear of her torment, saying, Alas, alas that great city Babylon, that mighty city! for in one hour is your judgment come.
Hosea 6:2	After two days will he revive us: in the third day he will raise us up, and we shall live in his sight.
1 Kings 9:21	Their children that were left after them in the land, whom the children of Israel also were not able utterly to destroy, on those did Solomon levy a tribute of slavery to this day.
Micah 3:10	They build up Zion with blood, and Jerusalem with iniquity.
Isaiah 50:9	Behold, the Lord GOD will help me; who is he that shall condemn me? see, they all shall wax old as a garment; the moth shall eat them up.
Hosea 1:5	And it shall come to pass at that day, that I will break the bow of Israel, in the valley of Jezreel.
Jeremiah 50:26	Come against her from the utmost border, open her storehouses: cast her up as heaps, and destroy her utterly: let nothing of her be left.
2 Chronicles 21:9	Then Jehoram went forth with his princes, and all his chariots with him: and he rose up by night, and smote the Edomites which compassed him in, and the captains of the chariots.
Ezekiel 40:38	And the chambers and the entries thereof were by the posts of the gates, where they washed the burnt offering.
Ezekiel 20:41	I will accept you with your sweet smell, when I bring you out from the people, and gather you out of the countries wherein you have been scattered; and I will be sanctified in you before the heathen.
Acts 16:37	But Paul said to them, They have beaten us openly uncondemned, being Romans, and have cast us into prison; and now do they thrust us out privately? no truly; but let them come themselves and fetch us out.
Psalm 18:22	For all his judgments were before me, and I did not put away his statutes from me.
Song of Solomon 5:1	I am come into my garden, my sister, my spouse: I have gathered my myrrh with my spice; I have eaten my honeycomb with my honey; I have drunk my wine with my milk: eat, O friends; drink, yes, drink abundantly, O beloved.
Philippians 4:7	And the peace of God, which passes all understanding, shall keep your hearts and minds through Christ Jesus.
Psalm 80:19	Turn us again, O LORD God of hosts, cause your face to shine; and we shall be saved.
Joel 2:30	And I will show wonders in the heavens and in the earth, blood, and fire, and pillars of smoke.
Romans 8:39	Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord.
1 Kings 4:4	And Benaiah the son of Jehoiada was over the host: and Zadok and Abiathar were the priests:
Numbers 31:27	And divide the prey into two parts; between them that took the war on them, who went out to battle, and between all the congregation:
Numbers 29:3	And their meat offering shall be of flour mingled with oil, three tenth deals for a bullock, and two tenth deals for a ram,
Daniel 3:7	Therefore at that time, when all the people heard the sound of the cornet, flute, harp, sackbut, psaltery, and all kinds of music, all the people, the nations, and the languages, fell down and worshipped the golden image that Nebuchadnezzar the king had set up.
1 Samuel 30:16	And when he had brought him down, behold, they were spread abroad on all the earth, eating and drinking, and dancing, because of all the great spoil that they had taken out of the land of the Philistines, and out of the land of Judah.
2 Samuel 10:19	And when all the kings that were servants to Hadarezer saw that they were smitten before Israel, they made peace with Israel, and served them. So the Syrians feared to help the children of Ammon any more.
Luke 17:15	And one of them, when he saw that he was healed, turned back, and with a loud voice glorified God,
1 Samuel 11:4	Then came the messengers to Gibeah of Saul, and told the tidings in the ears of the people: and all the people lifted up their voices, and wept.
John 20:17	Jesus said to her, Touch me not; for I am not yet ascended to my Father: but go to my brothers, and say to them, I ascend to my Father, and your Father; and to my God, and your God.
1 Kings 8:49	Then hear you their prayer and their supplication in heaven your dwelling place, and maintain their cause,
Acts 14:28	And there they stayed long time with the disciples.
Psalm 34:12	What man is he that desires life, and loves many days, that he may see good?
2 Chronicles 32:33	And Hezekiah slept with his fathers, and they buried him in the most chief of the sepulchers of the sons of David: and all Judah and the inhabitants of Jerusalem did him honor at his death. And Manasseh his son reigned in his stead.
Ezra 9:10	And now, O our God, what shall we say after this? for we have forsaken your commandments,
Joshua 15:57	Cain, Gibeah, and Timnah; ten cities with their villages:
2 Kings 11:4	And the seventh year Jehoiada sent and fetched the rulers over hundreds, with the captains and the guard, and brought them to him into the house of the LORD, and made a covenant with them, and took an oath of them in the house of the LORD, and showed them the king’s son.
Proverbs 26:6	He that sends a message by the hand of a fool cuts off the feet, and drinks damage.
Proverbs 23:33	Your eyes shall behold strange women, and your heart shall utter perverse things.
Genesis 12:15	The princes also of Pharaoh saw her, and commended her before Pharaoh: and the woman was taken into Pharaoh’s house.
Joshua 19:10	And the third lot came up for the children of Zebulun according to their families: and the border of their inheritance was to Sarid:
Ecclesiastes 10:10	If the iron be blunt, and he do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.
Judges 2:1	And an angel of the LORD came up from Gilgal to Bochim, and said, I made you to go up out of Egypt, and have brought you to the land which I swore to your fathers; and I said, I will never break my covenant with you.
Genesis 13:12	Abram dwelled in the land of Canaan, and Lot dwelled in the cities of the plain, and pitched his tent toward Sodom.
Luke 17:25	But first must he suffer many things, and be rejected of this generation.
Psalm 27:8	When you said, Seek you my face; my heart said to you, Your face, LORD, will I seek.
Deuteronomy 32:36	For the LORD shall judge his people, and repent himself for his servants, when he sees that their power is gone, and there is none shut up, or left.
Jeremiah 7:28	But you shall say to them, This is a nation that obeys not the voice of the LORD their God, nor receives correction: truth is perished, and is cut off from their mouth.
John 18:11	Then said Jesus to Peter, Put up your sword into the sheath: the cup which my Father has given me, shall I not drink it?
Genesis 32:31	And as he passed over Penuel the sun rose on him, and he halted on his thigh.
Zechariah 14:17	And it shall be, that whoever will not come up of all the families of the earth to Jerusalem to worship the King, the LORD of hosts, even on them shall be no rain.
2 Samuel 12:28	Now therefore gather the rest of the people together, and encamp against the city, and take it: lest I take the city, and it be called after my name.
2 Chronicles 28:10	And now you purpose to keep under the children of Judah and Jerusalem for slaves and bondwomen to you: but are there not with you, even with you, sins against the LORD your God?
Acts 20:30	Also of your own selves shall men arise, speaking perverse things, to draw away disciples after them.
Psalm 128:1	Blessed is every one that fears the LORD; that walks in his ways.
Job 26:3	How have you counceled him that has no wisdom? and how have you plentifully declared the thing as it is?
Leviticus 14:7	And he shall sprinkle on him that is to be cleansed from the leprosy seven times, and shall pronounce him clean, and shall let the living bird loose into the open field.
2 Chronicles 35:21	But he sent ambassadors to him, saying, What have I to do with you, you king of Judah? I come not against you this day, but against the house with which I have war: for God commanded me to make haste: forbear you from meddling with God, who is with me, that he destroy you not.
Exodus 23:5	If you see the ass of him that hates you lying under his burden, and would forbear to help him, you shall surely help with him.
Acts 23:27	This man was taken of the Jews, and should have been killed of them: then came I with an army, and rescued him, having understood that he was a Roman.
Matthew 24:24	For there shall arise false Christs, and false prophets, and shall show great signs and wonders; so that, if it were possible, they shall deceive the very elect.
Nehemiah 13:26	Did not Solomon king of Israel sin by these things? yet among many nations was there no king like him, who was beloved of his God, and God made him king over all Israel: nevertheless even him did outlandish women cause to sin.
Ecclesiastes 8:1	Who is as the wise man? and who knows the interpretation of a thing? a man’s wisdom makes his face to shine, and the boldness of his face shall be changed.
Deuteronomy 4:1	Now therefore listen, O Israel, to the statutes and to the judgments, which I teach you, for to do them, that you may live, and go in and possess the land which the LORD God of your fathers gives you.
